Job Title,Job Function,Job Level
Founder and Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Director - Head of Corporate Finance and Real Estate Capital Markets,"Marketing,Finances",Manager
Head of Corporate Finance and Real Estate Capital Markets,"Marketing,Finances",Other
Co-Founder and President,Management,Executive
General Manager Marketplace Development,"Management,Marketing",Manager
Director Strategic Licensing and Partnering - Americas,"Management,Strategy",Executive
Director Corporate Development,Other,Manager
President,Management,Executive
Director,Other,Manager
President,Management,Executive
Director,Other,Manager
Consultant,Consultant Services,Consultant
Vice President of Marketing,"Management,Marketing",Executive
Product Manager,"Management,Products",Manager
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Global Digital Innovation Director,Other,Manager
Co-Founder and Chief Executive Officer,Management,Executive
Chief Executive Officer and Co-Founder,Management,Executive
Co-Founder Senior Vice President - Business Development and OPEN,"Management,Business",Executive
Chief Executive Officer,Management,Executive
President,Management,Executive
GVP; Global Partner Development,Management,Executive
Senior Vice President Revenue Products and Distribution,"Management,Products",Executive
Executive Vice President Product,"Management,Products",Executive
Senior Vice President Consumer Digital Products and Platforms,"Management,Products",Executive
Senior Vice President Consumer Brands,Management,Executive
Senior Vice President,Management,Executive
Director of Sales and Marketing,"Marketing,Sales",Manager
Founder and Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Founder and Chairman,Management,Other
Co-Founder and Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Co-Founder,Management,Other
Chief Executive Officer Match.com,Management,Executive
Vice President Strategic Development,"Management,Strategy",Executive
Director Business Intelligence,Business,Manager
Vice President Strategic Development,"Management,Strategy",Executive
Vice President Business and Corporate Development,"Management,Business",Executive
Vice President Business Development,"Management,Business",Executive
Consultant,Consultant Services,Consultant
President,Management,Executive
Chief Executive Officer,Management,Executive
Strategic Advisor,Strategy,Consultant
Founder President,Management,Executive
Chief Executive Officer,Management,Executive
President and Chief Revenue Officer,Management,Executive
Tech Partner,Management,Executive
Senior Director,Other,Manager
Director - Global Product Marketing Yahoo! Mobile Products,"Marketing,Products",Manager
Chief Strategy Officer,"Management,Strategy",Executive
President Orbitz Partner Network and Global Advertising Solutions,"Management,Advertising",Executive
Managing Director International BD,Management,Manager
Investment Partner,Management,Executive
Designer in Residence Weeks - Google's Incubator for Design Founders,Management,Other
Head of Design,Other,Other
Head of Product and Design,Products,Other
Part time Partner,Management,Executive
Cornell Tech Startup Studio Crit Advisor,Other,Consultant
Interim Product Lead for News products,Products,Manager
Vice President of Product,"Management,Products",Executive
Vice President of Strategic Initiatives,"Management,Strategy",Executive
Vice President of Advisory Services,"Management,Services",Executive
Growth and Marketing Consultant,"Consultant Services,Marketing",Consultant
Vice President of Product and Marketing,"Management,Marketing,Products",Executive
Director LearnVest Planning Services,Services,Manager
Director of Product Strategy and Development,"Products,Strategy",Manager
Chief Marketing Officer Consultant,"Consultant Services,Marketing,Management",Executive
Co Founder,Management,Other
Chief Marketing Officer CONSULTANT,"Consultant Services,Marketing,Management",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Chief Marketing Officer CONSULTANT,"Consultant Services,Marketing,Management",Executive
Co-Founder Managing Director,Management,Manager
Partner,Management,Executive
Founding Chief Technology Officer,Management,Executive
Chief Technology Officer and Founding Team Member,Management,Executive
Vice President Business Development,"Management,Business",Executive
President and Chief Executive Officer,Management,Executive
President and Chief Executive Officer,Management,Executive
President and Chief Executive Officer,Management,Executive
Co-Founder,Management,Other
Co-Founder,Management,Other
Senior Vice President Product and Engineering,"Management,Engineering,Products",Executive
Executive Director Digital,Management,Executive
Chief Revenue Officer,Management,Executive
Senior Vice President Media Director,Management,Executive
Senior Media Planner,Other,Other
President Gilt City Gilt Business Development and International,"Management,Business",Executive
President Gilt City and Gilt Business Development,"Management,Business",Executive
Executive in Residence,Management,Executive
Group Vice President Digital Media,Management,Executive
Board of Directors,Other,Manager
Chief Executive Officer and President,Management,Executive
Executive Vice President General Manager Software and Chief Operating Officer Company NameHewlett Packard Enterprise,"Management,Operations,IT",Executive
Senior Vice President of Organizational Performance,Management,Executive
Board Member and Treasurer,Other,Other
Chief Finance Officer,"Management,Finances",Executive
Partner,Management,Executive
Publisher,Other,Other
Founder,Management,Other
Director Technology Serverside Practice,Other,Manager
Vice President Software Development,"Management,IT",Executive
Principal,Other,Consultant
Squarespace Circle Manager,Management,Manager
Squarespace Creatives Manager,Management,Manager
Chief Executive Officer,Management,Executive
Project Manager,Management,Manager
Project Manager,Management,Manager
Vice President of Sales,"Management,Sales",Executive
Founder and Chief Technology Officer,Management,Executive
Co-founder and Chief Technology Officer,Management,Executive
Founder and Chief Technology Officer,Management,Executive
Founder and Chief Technology Officer,Management,Executive
Director of Marketing,Marketing,Manager
Founder and Chief Executive Officer,Management,Executive
President and Board Member,Management,Executive
Director Global Head YouTube Spaces,Other,Manager
Director and Global Head YouTube Next Lab,Other,Manager
Senior Vice President Group Managing Director,Management,Executive
Chief Product Officer,"Management,Products",Executive
Vice President - Securitized Products Asset Finance,"Management,Products,Finances",Executive
Chief Executive Officer and Co Founder,Management,Executive
Chief Executive Officer or Chief Technology Officer,Management,Executive
Cofounder or Chief Technology Officer,Management,Executive
Chief Executive Officer or Chief Technology Officer,Management,Executive
Senior Vice President CIO Information and Process Officer,Management,Executive
Chief Executive Officer,Management,Executive
Senior Director Product Management Digital Publishing,"Management,Products",Manager
Founder,Management,Other
Northeast Marketing Director,Marketing,Manager
President and Chief Operating Officer,"Management,Operations",Executive
Co-Founder/Managing Partner,Management,Executive
President and General Manager Platforms and Data,Management,Executive
Senior Vice President and General Manager MapQuest,Management,Executive
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Senior Vice President of Operations,"Management,Operations",Executive
Co-Founder and Managing Partner,Management,Executive
Chief Technology Officer,Management,Executive
Weatherhead School of Management Adjunct Professor,"Management,Education",Professor
Co-Founder,Management,Other
Senior Vice President Category Management,Management,Executive
Co-Founder Managing Partner,Management,Executive
Senior Vice President Categories and Geographies,Management,Executive
Founding Trustee,Management,Other
Vice President - Digital Business Development - Professional Weather Division,"Management,Business",Executive
Vice President Business Development,"Management,Business",Executive
Director Product,Products,Manager
Director of Global Brand Marketing,Marketing,Manager
Chief Executive Officer Naspers Classifieds - Southeast Asia,Management,Executive
Executive Vice President Product and Business Development,"Management,Business,Products",Executive
Executive Vice President Product and Business Development,"Management,Business,Products",Executive
Corporate Controller,Other,Other
Senior Director of Business Development,Business,Manager
Executive Director of Business Development,"Management,Business",Executive
Strategic Partner Lead,"Management,Strategy",Executive
Senior Director Corporate Business Development,Business,Manager
President and Chief Executive Officer,Management,Executive
Executive Vice President of Marketing,"Management,Marketing",Executive
General Manager Cards and Stationery,Management,Manager
President,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Senior Counsel YouTube,Other,Other
Chief Marketing Officer Salesforce Marketing Cloud,"Management,Marketing,Sales",Executive
Chief Marketing Officer,"Management,Marketing",Executive
CMO,Other,Other
Head Of Corporate Marketing,Marketing,Other
CMO,Other,Other
CMO,Other,Other
Founder,Management,Other
Vice President Communications,Management,Executive
Vice President of International Marketing,"Management,Marketing",Executive
Director of Marketing,Marketing,Manager
Reporter/Editor,Other,Other
Co-founder,Management,Other
Chief Operating Officer,"Management,Operations",Executive
Ad Sales Director Global,Sales,Manager
Partner | CIO and CKO,Management,Executive
Director National Audio Sales,Sales,Manager
Director National Audio Sales,Sales,Manager
Chief Marketing Officer,"Management,Marketing",Executive
Senior Vice President - Marketing,"Management,Marketing",Executive
Vice President Corporate Development and Strategy,"Management,Strategy",Executive
Chief Technology Officer,Management,Executive
Vice President and Managing Director,Management,Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President New Ad Products,"Management,Products",Executive
Director of Products,Products,Manager
Director of Sales and Marketing,"Marketing,Sales",Manager
President of New York and New Jersey,Management,Executive
V.P. and Publisher,Other,Other
Vice President Sales East Region,"Management,Sales",Executive
Client Partner,Management,Executive
Board of Directors,Other,Manager
Vice President North American Sales,"Management,Sales",Executive
Vice President Sales East Region,"Management,Sales",Executive
Vice President Sales,"Management,Sales",Executive
Travel Massive South Florida Chapter Leader,Other,Manager
Senior Vice President Global Business Development and Strategic Marketing,"Management,Business,Marketing,Strategy",Executive
Senior Vice President Business Development and Strategic Marketing AOUK,"Management,Business,Marketing,Strategy",Executive
Chief Operating Officer,"Management,Operations",Executive
Head of Programming Strategy,Strategy,Other
Vice President of Monetization,Management,Executive
Senior Vice President Global RTB and Publisher Strategy,"Management,Strategy",Executive
Engineering Manager,"Management,Engineering",Associate
Advisor,Other,Consultant
Chief Operating Officer,"Management,Operations",Executive
Advisor,Other,Consultant
Co-Founder Chief Executive Officer,Management,Executive
Product Director Marketplace,"Marketing,Products",Manager
Vice President Licensing,Management,Executive
Senior Vice President Licensing,Management,Executive
Founder and Chief Executive Officer,Management,Executive
Product Marketing,"Marketing,Products",Other
Head of Consumer Operations Chrome and Apps,Operations,Other
Chief Technology Officer Security,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Product,Products,Other
Co-Founder and Chief Executive Officer,Management,Executive
Senior Director Technology and Innovation Criminal Justice Initiative,Other,Manager
Chief Executive Officer,Management,Executive
AVP Digital Experience,Other,Other
AVP Digital Experience,Other,Other
Vice President Advertising,"Management,Advertising",Executive
Chief Executive Officer,Management,Executive
Vice President and General Manager of SinglePlatform,Management,Executive
Senior Vice President,Management,Executive
Managing Director,Management,Manager
Head of Corporate Communications,Other,Other
Vice President of Sales,"Management,Sales",Executive
Vice President Consumer Products,"Management,Products",Executive
Director of Business Development,Business,Manager
Senior Director Sales and Business Development,"Business,Sales",Manager
Director of Marketing,Marketing,Manager
Vice President Customer Experience - Digital Channels,"Management,Customer Services",Executive
Vice President Corporate Development and Strategy,"Management,Strategy",Executive
President and Chief Executive Officer,Management,Executive
Advisory Board Member,Other,Consultant
Founder and Chief Product Officer,"Management,Products",Executive
Staff Software Engineer,"Engineering,IT",Associate
Member Board of Directors,Other,Manager
Entrepreneur and Chief Technology Officer,"Management,Entrepreneur",Executive
Publisher Village Voice and villagevoice.com,Other,Other
Vice President Brand Partnerships East Coast,Management,Executive
Executive Director,Management,Executive
Chief Finance Officer,"Management,Finances",Executive
Board of Directors,Other,Manager
Division Vice President,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Operating Officer,"Management,Operations",Executive
Client Engagement,Other,Other
Chief Operating Officer,"Management,Operations",Executive
Board Member,Other,Other
Chief Executive Officer Membership and Paid Services Group; co-founder Fishbowl Labs; investment committee AOL Ventures,"Management,Services",Executive
Principal,Other,Consultant
Director of Engineering Career Services Experience and Engagement,"Engineering,Services",Associate
Chief Financial Officer,"Management,Finances",Executive
Lead Developer Future Technologies,Other,Manager
Vice President Marketing,"Management,Marketing",Executive
Practice Lead Connected Life,Other,Manager
Executive Vice President,Management,Executive
Advisor,Other,Consultant
Head of Marketing,Marketing,Other
Startup Advisor or Angel Investor,Other,Consultant
Vice President of Marketing,"Management,Marketing",Executive
Founder and Chief Executive Officer,Management,Executive
Product Specialist Facebook Paper,Products,Other
Chief Executive Officer and Co-founder,Management,Executive
Consultant,Consultant Services,Consultant
Fund Advisor,Other,Consultant
Operating Advisor,Operations,Consultant
Senior Vice President of Strategy and Corporate Development,"Management,Strategy",Executive
Consumer Marketing Consultant,"Consultant Services,Marketing",Consultant
Senior Vice President Programming and Content,Management,Executive
Vice President of Business Development,"Management,Business",Executive
Executive Vice President Chief Strategy Officer,"Management,Strategy",Executive
Founder and Chief Executive Officer,Management,Executive
Vice President Marketing Communications and Partnerships,"Management,Marketing",Executive
Senior Vice President Strategic Marketing Partnerships and Communications,"Management,Marketing,Strategy",Executive
Executive Vice President of Global Consumer Products,"Management,Products",Executive
Member,Other,Other
Executive Director,Management,Executive
Managing Director Innov8 Ventures LLC,Management,Manager
Director and Technology Evangelist,Other,Manager
Director Account Management,Management,Manager
Chief of staff,Management,Executive
Chief Technology Officer Co-Founder,Management,Executive
Senior Vice President,Management,Executive
Vice President of Finance,"Management,Finances",Executive
Senior Vice President Sales and Client Services,"Management,Services,Sales",Executive
Executive Vice President Operations,"Management,Operations",Executive
Co-Founder Chairman and Chief Executive Officer,Management,Executive
Co-Founder and Chief Operating Officer,"Management,Operations",Executive
Founder/CEO,Management,Other
Head of Marketing Communications and Sponsorships,Marketing,Other
Vice President Enterprise Sales,"Management,Sales",Executive
Partner,Management,Executive
Chief Executive Officer,Management,Executive
Board of Advisors,Other,Consultant
Director Business Development,Business,Manager
Business Development,Business,Other
Director Brand Advertising,Advertising,Manager
Executive Vice President Consumer Marketing,"Management,Marketing",Executive
Executive Director Media,Management,Executive
Vice President of Operations,"Management,Operations",Executive
Co-founder Chief Product Officer,"Management,Products",Executive
Founder,Management,Other
Managing Director,Management,Manager
Investor,Other,Other
Chief Executive Officer,Management,Executive
Director of Business Development,Business,Manager
Founder and Chief Executive Officer,Management,Executive
Vice President Strategy and Corporate Development through January,"Management,Strategy",Executive
President Global Revenue,Management,Executive
Vice President Marketing and Business Development,"Management,Business,Marketing",Executive
Executive Vice President and Head of International Affairs,Management,Executive
Executive Vice President and Head of International Affairs,Management,Executive
Senior Vice President Digital Products,"Management,Products",Executive
Senior Vice President Syndication and Strategic Partnerships,"Management,Strategy",Executive
CMO,Other,Other
General Manager Media Network and Senior Vice President Market Development,"Management,Marketing",Executive
Vice President International Development and Content Partnerships,Management,Executive
Senior Vice President Business Development and Strategy,"Management,Business,Strategy",Executive
Global Director of Digital Marketing,Marketing,Manager
Director Product Management,"Management,Products",Manager
Executive Vice President Chief Finance Officer and Chief Administrative Officer,"Management,Finances,Strategy",Executive
Director of Business Development Voice of Taxi,Business,Manager
Vice President Marketing,"Management,Marketing",Executive
Chief Operating Officer,"Management,Operations",Executive
Vice President of Business and Corporate Development,"Management,Business",Executive
Vice President Digital Sales,"Management,Sales",Executive
Vice President Global Business Development,"Management,Business",Executive
Chief Executive Officer,Management,Executive
President and Chief Executive Officer,Management,Executive
Vice President Products,"Management,Products",Executive
Board of Directors: Executive Committee,Management,Executive
Director Blackstone Launchpad NYU,Other,Manager
Partner Business Development,"Management,Business",Executive
Director of Product Marketing,"Marketing,Products",Manager
Vice President Head of Industry - CPG,Management,Executive
Senior Vice President Marketing,"Management,Marketing",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Data and Marketing Strategy,"Management,Marketing,Strategy",Executive
Vice President of Operations,"Management,Operations",Executive
Senior Vice President People,Management,Executive
Director of Product Development - Big Data/Consumer Insights Platform,Products,Manager
Senior Vice President Strategic Partnerships,"Management,Strategy",Executive
Chief Operating Officer,"Management,Operations",Executive
Vice President Cargo Revenue Management,Management,Executive
Entrepreneur-In-Residence NYC,Entrepreneur,Other
EIR Chief Troublemaker Startups East Region,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Operating Officer TechCrunch and General Manager AOL Tech Media,"Management,Operations",Executive
Co-Founder and Chief Executive Officer,Management,Executive
President and Chief Executive Officer Samsclub.com,Management,Executive
Head of Strategic Partner Development,"Management,Strategy",Executive
Chief Executive Officer,Management,Executive
Senior Vice President - Private Equity and Hedge Fund Division,Management,Executive
Senior Vice President Marketing and Strategic Partnerships,"Management,Marketing,Strategy",Executive
Chief Strategy Officer,"Management,Strategy",Executive
Chief Executive Officer,Management,Executive
Co-founder and Chief Executive Officer,Management,Executive
Digital Business Angel,Business,Other
President Operations,"Management,Operations",Executive
General Manager APAC,Management,Manager
General Manager Partnerships,Management,Executive
Chief Operating Officer and Senior Partner,"Management,Operations",Executive
General Manager Microsoft.com,Management,Manager
Director of National Marketing,Marketing,Manager
Marketing and Business Development Specialist,"Business,Marketing",Other
Managing Director North America,Management,Manager
Marketing and Business Development Specialist,"Business,Marketing",Other
President and Chief Executive Officer,Management,Executive
Vice President Marketing and Business Development,"Management,Business,Marketing",Executive
President and Chief Operating Officer,"Management,Operations",Executive
Senior Vice President West Coast Operations,"Management,Operations",Executive
Global Account Manager,Management,Manager
Senior Vice President Sales and Marketing,"Management,Marketing,Sales",Executive
Chief Finance Officer,"Management,Finances",Executive
Chief Product Officer,"Management,Products",Executive
Senior Director Product Management,"Management,Products",Manager
Senior Vice President Marketing,"Management,Marketing",Executive
General Manager Local,Management,Manager
Vice President Product Marketing,"Management,Marketing,Products",Executive
Vice President Marketing North America,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President Marketing or CMO,"Management,Marketing",Executive
Vice President Marketing or Head of Marketing,"Management,Marketing",Executive
Served as Chief Marketing Officer or Marketing Director,"Management,Marketing",Executive
Senior Brand Manager Skippy Peanut Butter,Management,Manager
Senior Brand Manager Slim-Fast,Management,Manager
Senior Brand Manager Men's Grooming Portfolio,Management,Manager
Brand Manager L'Oreal Skin Care and Hair Care,Management,Manager
Associate Brand Manager Dixie Cups and Plates,"Consultant Services,Management",Manager
Associate,Consultant Services,Contributor
Summer Associate,Consultant Services,Contributor
Head of Engineering,Engineering,Associate
Engineering Director,Engineering,Associate
CEO/Co-founder,Management,Other
Senior Director Software Engineering,"Engineering,IT",Associate
Vice President of People Operations,"Management,Operations",Executive
Partner,Management,Executive
Fund Manager Funds of Funds,Management,Manager
Founder and Chairman,Management,Other
Executive Vice President Sales,"Management,Sales",Executive
Vice President Marketplace Operations,"Management,Operations,Marketing",Executive
General Manager Publisher Platform,Management,Manager
Advertising Director,Advertising,Manager
Board of Advisors,Other,Consultant
General Counsel and Chief Adminitrative Officer,Management,Executive
Senior Director of Logistics,Other,Manager
Chief Executive Officer,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Managing Director Early Stage Practice,Management,Manager
Head of Investor Relations and General Counsel,Other,Other
Director of Invention,Other,Manager
Vice President Business Development,"Management,Business",Executive
Advisor,Other,Consultant
Strategic Development,Strategy,Other
Co-Founder COO/CTO,Management,Other
Co-Founder Chief Operating Officer,"Management,Operations",Executive
Advisor,Other,Consultant
Steering Committee Member,Other,Other
Co-Founder,Management,Other
Portfolio Manager,Management,Manager
Nuclear Division Officer or Plant Watch Officer,Other,Executive
Communications Officer,Other,Executive
Co-Founder,Management,Other
Chief Executive Officer,Management,Executive
Advisor,Other,Consultant
Senior Vice President Chief Operating Officer,"Management,Operations",Executive
Vice President of Infrastructure Engineering,"Management,Engineering",Executive
Consultant,Consultant Services,Consultant
Founder and President,Management,Executive
Director Mobile Strategy and Business Development,"Business,Strategy",Manager
Vice President Strategy and Operations CNBC Digital,"Management,Operations,Strategy",Executive
General Manager and Senior Vice President CNBC Events,Management,Executive
Chief Product Officer,"Management,Products",Executive
Head of Product and Engineering,"Engineering,Products",Associate
Vice President Business Operations,"Management,Business,Operations",Executive
Director of Strategy and Business Development,"Business,Strategy",Manager
Head of Business Development and Partnership Management,"Management,Business",Executive
Founder and Chief Executive Officer,Management,Executive
Vice President Business Operations,"Management,Business,Operations",Executive
Senior Vice President Global Head of Programmatic,Management,Executive
SVP/Chief Revenue Officer,Management,Executive
Senior Director Platform Partners,Management,Executive
Software Architect,IT,Other
Senior Vice President Marketing and Fund Development,"Management,Marketing",Executive
Vice President Digital Sales,"Management,Sales",Executive
Senior Director Social North America,Other,Manager
Chief Executive Officer,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Director Innovation and Partnerships SingTel LifeLabs,Management,Executive
Mentor,Other,Other
Vice President,Management,Executive
Start-Up Mentor and Advisor,Other,Consultant
Partner,Management,Executive
Vice President Digital Business Development,"Management,Business",Executive
Vice President Business Development,"Management,Business",Executive
Senior Vice President Product Marketing and General Manager Monetization Solutions,"Management,Marketing,Products",Executive
Founder and Vice President Strategy,"Management,Strategy",Executive
Customer Services Director Content Bridge Alliance or Product Manager E-Commerce,"Management,Services,Products,Customer Services",Manager
Strategy Consultant - Entertainment and Media,"Consultant Services,Strategy",Consultant
Senior Manager Regional Corporate Finance,"Management,Finances",Manager
Chief Executive Officer and Cofounder,Management,Executive
Senior Vice President Product Development,"Management,Products",Executive
iDiversity Evangelist,Other,Other
CMO or Owner,Other,Other
Account Executive,Management,Executive
Seeking new opportunities in digital media and marketing,Marketing,Other
CMO or Owner,Other,Other
Account Executive,Management,Executive
Editor The Voice,Other,Other
Business Development Consultant,"Consultant Services,Business",Consultant
Chief Financial Officer,"Management,Finances",Executive
Global Chief Digital Officer,Management,Executive
Chief Executive Officer,Management,Executive
Vice President of Asia Pacific,Management,Executive
Vice President,Management,Executive
Chief Executive Officer and Co-founder,Management,Executive
CIO and Co-founder,Management,Other
Advisor,Other,Consultant
Director of Product,Products,Manager
Vice President Product Development,"Management,Products",Executive
Founder,Management,Other
Executive Vice President Strategic Development,"Management,Strategy",Executive
Co-founder,Management,Other
Mentor,Other,Other
Vice President Fantasy Sports and Premium Products,"Management,Products",Executive
Principal,Other,Consultant
Head of Bionic Labs,Other,Other
Principal,Other,Consultant
Vice President User Experience,Management,Executive
Vice-President Product Management or User Experience,"Management,Products",Executive
Director of Product - User Experience and Integration,Products,Manager
Product Manager Strategic Consulting,"Consultant Services,Management,Products,Strategy",Manager
Independent Marketing Branding and Strategy Consultant,"Consultant Services,Marketing,Strategy",Consultant
Vice President Product and Business Develoment,"Management,Business,Products",Executive
Director Interactive Marketing,Marketing,Manager
Director Strategy and Business Development,"Business,Strategy",Manager
Coach or Consultant or Founder,"Consultant Services,Management",Consultant
President,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Co-Founder and Managing Partner,Management,Executive
Mentor,Other,Other
Chief Marketing Officer,"Management,Marketing",Executive
Executive Director,Management,Executive
Senior Vice President and General Manager Lamps,Management,Executive
Member Board of Directors,Other,Manager
Executive Vice President Business and Corporate Development,"Management,Business",Executive
Chief Executive Officer,Management,Executive
President Consumer Products,"Management,Products",Executive
Senior Vice President Global Sales,"Management,Sales",Executive
President and Founding Partner,Management,Executive
Executive Vice President New Business Development,"Management,Business",Executive
Vice President Business Development Como,"Management,Business",Executive
Strategic Advisor,Strategy,Consultant
cofounder,Management,Other
Global Major Deal Team,Other,Other
Product Management,"Management,Products",Other
Product Advisor,Products,Consultant
General Manager Advertising,"Management,Advertising",Manager
Business Development,Business,Other
Management Consultant,"Consultant Services,Management",Consultant
Director and Co-Founder HuffPost Labs,Management,Manager
Vice President Editor-in-Chief,Management,Executive
Global Vice President Financial Planning Analysis,"Management,Finances",Executive
Chief Finance Officer,"Management,Finances",Executive
Co-founder/CEO,Management,Other
Product Manager,"Management,Products",Manager
Advisor,Other,Consultant
Vice President Product,"Management,Products",Executive
Director Product Management,"Management,Products",Manager
Senior Product Manager Mobile Apps,"Management,Products",Manager
Product Engineer,"Engineering,Products",Associate
Assistant Instructor,Other,Other
GaAs IC Design Engineer Co-op,Engineering,Associate
Senior Strategist,Strategy,Other
Director Digital Sales and Event Marketing,"Marketing,Sales",Manager
Board Director,Other,Manager
Vice President Marketing,"Management,Marketing",Executive
Director eBay Advertising,Advertising,Manager
Junior Committee Member,Other,Other
Founder and Owner,Management,Other
Interim Chief Marketing Officer,"Management,Marketing",Executive
Interim Chief Executive Officer,Management,Executive
Acting Chief Executive Officer,Management,Executive
Managing Director,Management,Manager
Founder and Managing Director,Management,Manager
Director of Partner Programs,Management,Executive
Chief Revenue Officer and Head of Product Strategy,"Management,Products,Strategy",Executive
Vice-President Product,"Management,Products",Executive
Vice President Product and Operations,"Management,Operations,Products",Executive
Vice President of Product,"Management,Products",Executive
Senior Vice President,Management,Executive
Senior Vice President,Management,Executive
Chief Executive Officer,Management,Executive
Director of iShares Brand and Advertising,Advertising,Manager
Director iShares Brand and Advertising,Advertising,Manager
Marketing Consultant,"Consultant Services,Marketing",Consultant
Director iShares Brand and Advertising,Advertising,Manager
Vice President Brand and Marketing Communications,"Management,Marketing",Executive
Senior Vice President Group Head US Consumer Marketing,"Management,Marketing",Executive
Vice President US Brand Marketing,"Management,Marketing",Executive
